Countries,Child qualities:hard work,Child qualities: religious faith,Importance:work,Importance:Religion,Satisfied financially,Protect environment,Health:good,Emphasis on tech:good,
Argentina,40.6,23.2,87.2,56.2,6.52,54.2,94.8,47.1,
Australia,59.1,15.2,81.6,31.1,6.32,59,96.3,41.9,
Colombia,13.6,60.3,98.4,85.4,6.7,67,98.2,76.4,
Chile,30.5,27.5,88.8,58.9,6,66.7,96.5,50,
China,75.3,1.2,79.6,10.6,6.19,56.6,93.4,77.6,
Egypt,50.4,83.4,82.3,99.8,4.86,30.5,84.3,85.6,
Georgia,91.3,63.6,88.7,97,4.01,59.1,80,69.2,
Germany,17.9,12.1,79.9,38,6.62,47.7,92.1,59.1,
India,94.6,83.1,94.1,91.3,5.94,58.4,92.4,59.4,
Iraq,57.8,75,90.8,97.5,5.85,43,92.7,82.8,
Japan,35.1,4.4,84.2,19,6.04,22.7,88.7,70.7,
Jordan,39.5,79.8,86.8,99.5,5.33,35.8,95.3,82.2,
Mexico,38,35.3,95.5,83.8,7,62.8,97.7,79.4,
Moldova,0,0,0,0,0,0,0,0,
Morocco,67.1,77.6,95.2,98.7,5.57,53.2,94.8,54.6,
New Zealand,50.2,15.9,81.1,36.1,6.88,42.6,95.7,40.7,
Pakistan,55.7,72.8,90.1,97.5,6.76,45.7,95,58.4,
Peru,16.5,42.1,94.7,80.2,6.03,62.9,96.1,69.1,
Philippines,69.5,59.8,98,98.1,6.34,64.9,94.8,73.6,
Poland,17.9,39.5,89.2,79.6,5.71,37.6,89.8,79.7,
Romania,77.3,51.7,90.2,83.8,5.84,34.8,91,71,
Russia,84.5,13.9,74.3,41.8,4.87,50.2,88.6,71.4,
Slovenia,50.9,23.4,88.2,32.9,6.06,44.5,88,63.7,
South Africa,70.2,44.3,80.1,83.9,6.13,38.3,95.7,46.9,
South Korea,64.3,25,91,54.2,5.69,48.2,97.7,66.6,
Spain,66.6,10.6,84.7,32,5.56,35.2,94.8,64.8,
Sweden,13.8,4.4,84.9,26.2,6.94,62.9,96.6,46.3,
Taiwan,40.4,9,90.1,52.7,6.39,60.6,97.1,70.7,
Turkey,72,39.7,81.3,92.7,6.17,48,91.9,58.6,
Ukraine,85.8,22.3,78.8,60.8,4.54,47.7,82.7,70.3,
United States,66.4,43.1,79.9,68.4,6.15,37.2,96,48.9,61.1
Uruguay,21.8,15.8,89.7,38.6,6.64,64.2,96.8,48.9,61.1
