Countries,Child qualities:hard work,Child qualities: religious faith,Importance:work,Importance:Religion,Satisfied financially,Protect environment,Health:good,Emphasis on tech:good,Gapminder:Alternative GDP per capita
Argentina,55.5,34.7,96.7,66,4.98,42.4,88.9,66,10342.552796528
Australia,35.9,21.4,86.2,47.7,6.38,60.5,95.2,58,26995.5707920789
Colombia,23.3,49,98.8,91.7,0,0,0,0,6766.2828000352
Chile,16.8,45.6,92.1,73.1,5.9,53.8,92.8,51.4,10422.6983585033
China,72.7,3.3,91.2,14.2,6.11,51.3,93.9,92.1,2168.9979644455
Egypt,0,0,0,0,0,0,0,0,3742.1393414815
Georgia,81.9,31,79.4,83.4,3.07,56.6,86.3,78,2162.8477416919
Germany,9.9,11.6,86.6,27,6.19,37.7,91.9,55.5,28501.0345163462
India,71.6,36,97.2,77.7,6.14,20.6,92.1,54.8,1533.2112464622
Iraq,0,0,0,0,0,0,0,0,2442.6270369443
Japan,24.4,5.8,87.5,21.3,6.33,31.2,91.9,64,28497.1052045178
Jordan,0,0,0,0,0,0,0,0,3493.0512823862
Mexico,33.1,43.6,91.6,78.6,7.3,49.7,90.8,64.1,10604.3787689431
Moldova,87.3,28,84.9,66.5,3.06,55.5,74.6,77.6,1736.8779759673
Morocco,0,0,0,0,0,0,0,0,2807.6903894439
New Zealand,37.1,15.7,85.6,38.2,6.46,41.1,95.9,35.3,21035.1341135022
Pakistan,53,80.6,92.4,94.6,4.57,48.6,86.5,0,1799.8955714185
Peru,62.7,51.6,95.6,81.7,5.12,39.9,97.1,71.7,5455.7928362111
Philippines,57.8,62.7,97.7,97.8,6.04,66.6,94.6,81.5,2618.0531525128
Poland,16,0,93.7,82.7,4.37,40.8,78.7,73.8,10141.8624997445
Romania,63.6,57.9,93.4,75.1,3.84,41.6,88.7,75.9,7053.6582212988
Russia,90.7,9.4,82.7,39.9,3.3,44.6,76.5,83.6,7663.1287702724
Slovenia,33,19.2,93.9,43,5.36,45.1,80.4,74.4,17407.625059761
South Africa,58.5,61.1,93.1,89.9,4.24,24.5,89.7,67.6,7568.792634196
South Korea,62.2,16.6,91.1,50.6,5.69,60.9,98.6,66.6,0
Spain,64.4,21.8,89.7,57.7,5.64,50.4,93.8,52.6,22412.0757253534
Sweden,6.6,4.8,93.8,29.2,6.26,59,94.3,34.4,25994.2788172765
Taiwan,41.7,8.6,90.2,47.7,6.11,60.4,89.3,91.5,0
Turkey,69.3,50.9,94.7,93.5,5.09,52.9,91.9,91.2,9363.6417849458
Ukraine,83.3,20.4,82.7,48.8,3,44.9,76,63.2,3557.9040889029
United States,52.5,53.9,85.7,82.1,6.47,47.8,95.9,53.5,35983.2930206472
Uruguay,28.6,17.4,94.8,48.9,6.7,53.7,97.3,58.2,9425.2636165301
